,MSPE h=1,MAPE h=1
PM,0.00022390130494935392,0.0068541869059459805
AR1,0.00022293436217753223,0.006913499597531324
OLS p=1,0.0004276817539161137,0.00818737549399791
Lasso p=1,0.0003135864770040644,0.007024801808537408
Ridge p=1,0.0003756605324930154,0.007334907654304138
OLTS p=1,0.0002875181531176194,0.007290847583443024
OLS p=12,0.0015454056396477273,0.017532526040519636
Lasso p=12,0.0002780336027934671,0.007175115181401221
Ridge p=12,0.0002871360725084149,0.00739417069185586
OLTS p=12,0.001040922981978377,0.015496140265932545
OLS p=24,0.000695196734775207,0.012552736757094281
Lasso p=24,0.0002764116265571768,0.007200840084762036
Ridge p=24,0.0002851119980335378,0.00759889758277125
OLTS p=24,0.0007432371201515439,0.012917560535140123
