,MSPE h=1,MAPE h=1
PM,1.0,1.0
AR p=1,0.9956813884044114,1.0086534978399684
ARX p=1,1.9101351553661312,1.1945071831781235
LAR p=1,0.9955321241219006,1.0085921202917079
LARX p=1,1.400556718840907,1.024892070340746
RAR p=1,0.9941949317693801,1.0073363020059294
RARX p=1,1.6777951900637165,1.0701353428137674
TAR p=1,0.9330124677711359,0.9911439098563576
TARX p=1,1.2838187434276973,1.0704022231611694
AR p=12,1.0989149823426503,1.0037263294216034
ARX p=12,6.902173437521033,2.5579293767595157
LAR p=12,1.0509962375401225,0.9820382925238059
LARX p=12,1.2417685678802,1.0468222241177632
RAR p=12,1.06241350947057,0.9899396192960268
RARX p=12,1.2824225056364214,1.0787815963176384
TAR p=12,1.1201316854132595,0.9955272771235246
TARX p=12,5.191725303855149,2.307465779511553
AR p=24,1.102739410174649,1.026682602254191
ARX p=24,3.104924890600612,1.8313969153955856
LAR p=24,1.0527043293782323,0.9987189452715145
LARX p=24,1.2345244107429416,1.0505753904252793
RAR p=24,1.0485289288326043,1.0062410028736897
RARX p=24,1.2733824758101773,1.1086504770068695
TAR p=24,1.1026436816925365,1.0005954844687026
TARX p=24,3.132682446265974,1.7868864651950758
