,MSPE h=12,MAPE h=12
PM,0.00022390130494935392,0.0068541869059459805
TRAR p=1,0.0002325894785290159,0.006899987119562485
TRARX p=1,0.00022639136416185724,0.006779393379304401
TRAR p=12,0.00023268414447782617,0.006936042481820857
TRARX p=12,0.0002340998422465864,0.0070248834603679824
TRAR p=24,0.00023160360046498704,0.006948607096119491
TRARX p=24,0.0002356177911200376,0.00715088581080686
