,MSPE p=1,MAPE p=1,MSPE p=12,MAPE p=12,MSPE p=24,MAPE p=24
PM h=1,1.0,1.0,1.0,1.0,1.0,1.0
PAR h=1,1.0296747936549642,1.0110268238666853,1.0296747936549642,1.0110268238666853,1.0296747936549642,1.0110268238666853
AR h=1,0.9956813884044112,1.0086534978399684,1.0989149823426503,1.0037263294216032,1.1027394101746493,1.026682602254191
ARX h=1,1.9101351553661863,1.1945071831781293,6.906235783784609,2.5587109869723434,3.104677133079367,1.8312810201988716
LAR h=1,0.9955321241219006,1.0085921202917079,1.0509962375401225,0.9820382925238057,1.0527043293782323,0.9987189452715146
LARX h=1,1.400556718840907,1.0248920703407458,1.2417685678802008,1.046822224117763,1.2345244107429432,1.0505753904252797
RAR h=1,0.9941949317693815,1.0073363020059296,1.0624135094705691,0.9899396192960256,1.0485289288326056,1.006241002873689
RARX h=1,1.6777951900628891,1.0701353428136922,1.2824225056364158,1.0787815963176361,1.273382475810185,1.1086504770068701
EAR h=1,0.995512778893077,1.0085855285283225,1.0483234175654057,0.9805755662369747,1.0514409559834597,1.0003577454176018
EARX h=1,1.403918842256584,1.0256214176793332,1.270146954161152,1.0553522627443535,1.2425867866593145,1.0520069765761313
TAR h=1,0.9330124677711362,0.9911439098563575,1.1200679856350908,0.9956519633670757,1.1024920651402055,0.9999441855210937
TARX h=1,1.1813220349519975,1.029487577761388,5.732936435153831,2.4132564475446263,2.3991612749164037,1.74085373081798
TRAR h=1,0.930706001530829,0.9871603325615155,1.0987994571476174,0.9855734177563901,1.0863555618942797,0.9923684971888579
TRARX h=1,1.1870723465356154,1.017339264024923,1.331756284187452,1.0637183299838395,1.316552993081056,1.078963458094781
PM h=12,1.0,1.0,1.0,1.0,1.0,1.0
AR h=12,1.0315341435095144,0.9995843957699909,1.0363047738329123,1.0205943407237645,1.0183079285777328,1.0098780342183618
ARX h=12,30.38716289963411,1.9997158070032357,41.53404757574441,5.3271446339227175,8.541013450472267,3.1000634934755498
LAR h=12,1.0285995541088468,0.9998452263291631,1.0323130736230606,1.003831232092882,1.0230509992619474,0.9942573287277056
LARX h=12,1.0771739762033727,1.034815691661328,1.0342578690002153,1.0125370702373828,1.042122817614571,1.0144845617378369
RAR h=12,1.0301130616285716,0.9995008806372226,1.0323124667811576,1.0032007606446618,1.0235615474495363,1.0030679496344534
RARX h=12,2.305287075538305,1.1839946089447466,1.1250640412974364,1.0781595379131386,1.112982868724705,1.086876073687141
EAR h=12,1.0285996472600811,0.9998435484295138,1.0317123583447474,1.0045465372821047,1.022523867839367,0.9944523463504491
EARX h=12,1.0755670951078504,1.0339131209763,1.0348916510579302,1.0128615810895891,1.041900322968477,1.0139678882901149
TAR h=12,1.0389494934217023,1.0062808201316906,1.0421113037764207,1.0265765468289936,1.030849136622307,1.0167680651308224
TARX h=12,40.709528867185064,2.6106207684761946,34.57632992106232,4.931928363197564,6.287428499149402,2.6874265356350047
TRAR h=12,1.0388035861676967,1.0066820783041053,1.0392263882984465,1.0119424195747955,1.0344004047559052,1.0137755493786724
TRARX h=12,1.0111212358189094,0.9890879067542355,1.0455492534960407,1.0249039830346502,1.0523287980538296,1.0432872503963224
