,MSPE h=12,MAPE h=12
PM,0.00022390130494935392,0.0068541869059459805
TRidge p=1,0.00022600974267875966,0.006741810346786664
TRidge p=12,0.00023323455670435657,0.006999720829235007
TRidge p=24,0.00023530454939081264,0.007140766255588349
