,MSPE h=1,MAPE h=1
PM,1.0,1.0
TRidge p=1,1.2718308983293547,1.025260002367854
TRidge p=12,1.1381447145485717,1.0236019479027625
TRidge p=24,1.34936791847293,1.0944208622118115
