,MSPE h=1,MAPE h=1
PM,1.0,1.0
AR1,0.9956813884044114,1.0086534978399684
OLS p=1,1.9101351553661312,1.1945071831781235
Lasso p=1,1.400556718840907,1.024892070340746
Ridge p=1,1.6777951900637165,1.0701353428137674
OLTS p=1,1.284128974516944,1.0637071447698987
OLS p=12,6.902173437521033,2.5579293767595157
Lasso p=12,1.2417685678802,1.0468222241177632
Ridge p=12,1.2824225056364214,1.0787815963176384
OLTS p=12,4.649025972465108,2.2608283781245744
OLS p=24,3.104924890600612,1.8313969153955856
Lasso p=24,1.2345244107429416,1.0505753904252793
Ridge p=24,1.2733824758101773,1.1086504770068695
OLTS p=24,3.3194854327430687,1.8846233276676756
